Neighborhood,1-2 Units,3-10 Units,11-49 Units,50-250 Units,250-800 Units
Bayview,87,49,84,908,1083
Bernal Heights,61,26,,50,
Castro/Upper Market,45,37,127,147,
Chinatown,5,,68,,
Crocker Amazon,12,13,,,
Downtown/Civic Center,,33,436,2118,1051
Excelsior,64,17,34,198,
Financial District,2,9,78,935,2275
Glen Park,14,6,,,
Haight Ashbury,16,39,16,,
Inner Richmond,42,45,77,,449
Inner Sunset,20,27,34,,460
Lakeshore,15,3,,482,612
Marina,25,47,177,53,
Mission,45,352,413,1351,625
Nob Hill,4,43,189,170,
Noe Valley,48,61,,,
North Beach,1,17,30,,
Ocean View,51,12,42,,
Outer Mission,37,29,,61,
Outer Richmond,63,65,69,,
Outer Sunset,73,15,24,,
Pacific Heights,2,8,47,76,
Parkside,39,26,,56,
Potrero Hill,58,40,287,1501,1240
Presidio Heights,14,11,21,,
Russian Hill,15,69,39,124,
Seacliff,1,,,,
South of Market,14,107,658,5400,5660
Treasure Island/YBI,,,,,
Twin Peaks,5,8,,,
Visitacion Valley,28,20,,229,
West of Twin Peaks,12,12,13,,
Western Addition,22,133,193,1397,516
